fem,fgpa,sata,satm,satv
1,2.518,4,4,4
0,2.326,4,4.9,3.1
1,3.003,4.2,4.4,4
0,2.111,4.4,4.9,3.9
0,2.145,4.5,4.3,4.7
1,1.917,4.6,5.1,4.1
0,2.725,4.7,4.9,4.5
1,3.364,4.75,4.9,4.6
1,2.472,4.75,4.4,5.1
1,2.72,4.8,5.2,4.4
0,3.142,4.85,5.6,4.1
0,2.626,4.85,5.6,4.1
0,2.404,4.85,5.2,4.5
0,2.19,4.9,4.8,5
1,3.475,4.9,5.2,4.6
0,2.831,4.9,5.1,4.7
0,2.012,4.95,5.7,4.2
1,3.602,5,5.2,4.8
0,2.311,5.05,4.6,5.5
0,2.015,5.05,5.6,4.5
0,2.63,5.05,5.2,4.9
0,2.613,5.05,6.1,4
1,3.292,5.1,5.9,4.3
0,2.893,5.1,5.4,4.8
0,2.441,5.1,6,4.2
0,2.178,5.1,5.8,4.4
0,3.521,5.1,5.5,4.7
0,2.042,5.1,4.9,5.3
0,2.88,5.1,5.4,4.8
1,3.289,5.1,5.8,4.4
0,2.02,5.1,4.8,5.4
1,2.762,5.15,5.4,4.9
1,3.38,5.15,6.1,4.2
0,3.6,5.15,5.3,5
1,2.656,5.15,5.5,4.8
1,3.182,5.15,5.4,4.9
0,2.848,5.15,6,4.3
1,2.206,5.15,5.6,4.7
0,2.85,5.15,5.7,4.6
0,2.244,5.15,5.4,4.9
1,3.164,5.15,5.1,5.2
1,2.656,5.2,5.5,4.9
1,2.948,5.2,5.8,4.6
0,2.793,5.2,4.9,5.5
1,2.418,5.2,5.7,4.7
1,2.639,5.2,5.2,5.2
1,2.616,5.2,5.4,5
0,2.559,5.2,5.5,4.9
0,2.057,5.2,5.3,5.1
1,2.853,5.2,5.8,4.6
0,2.853,5.2,6.1,4.3
0,2.487,5.25,5.4,5.1
0,3.326,5.25,5.4,5.1
0,2.981,5.25,5.7,4.8
1,2.543,5.25,6,4.5
0,2.5,5.25,6.7,3.8
0,2.32,5.25,5.8,4.7
1,2.923,5.25,5.6,4.9
0,2.66,5.25,5.8,4.7
0,2.62,5.25,5.7,4.8
0,2.222,5.25,4.8,5.7
0,2.889,5.25,5.8,4.7
1,2.493,5.25,5.4,5.1
1,2.596,5.25,5.5,5
0,3.275,5.25,5.9,4.6
0,2.555,5.3,5.6,5
