exec_date,BUY,SELL
2015-06-24,1.0,3.0
2015-06-25,2.0,5.0
2015-06-26,1.0,0.0
2015-06-27,52.0,20.0
2015-06-28,9.0,6.0
2015-06-29,9.0,0.0
2015-06-30,9.0,2.0
2015-07-01,5.0,0.0
2015-07-02,9.0,12.0
2015-07-03,19.0,45.0
2015-07-04,12.0,2.0
2015-07-05,31.0,18.0
2015-07-06,47.0,2.0
2015-07-07,7.0,85.0
2015-07-08,14.0,28.0
2015-07-09,10.0,3.0
2015-07-10,7.0,7.0
2015-07-11,8.0,8.0
2015-07-12,21.0,1.0
2015-07-13,14.0,20.0
2015-07-14,22.0,5.0
2015-07-15,26.0,6.0
2015-07-16,10.0,15.0
2015-07-17,5.0,66.0
2015-07-18,0.0,3.0
2015-07-19,4.0,17.0
2015-07-20,38.0,11.0
2015-07-21,7.0,4.0
2015-07-22,10.0,27.0
2015-07-23,11.0,11.0
2015-07-24,14.0,7.0
2015-07-25,65.0,36.0
2015-07-26,10.0,8.0
2015-07-27,7.0,95.0
2015-07-28,43.0,78.0
2015-07-29,98.0,195.0
2015-07-30,155.0,142.0
2015-07-31,207.0,210.0
2015-08-01,9.0,9.0
2015-08-02,13.0,26.0
2015-08-03,6.0,3.0
2015-08-04,8.0,9.0
2015-08-05,9.0,10.0
2015-08-06,14.0,24.0
2015-08-07,41.0,30.0
2015-08-08,24.0,36.0
2015-08-09,10.0,13.0
2015-08-10,85.0,25.0
2015-08-11,31.0,36.0
2015-08-12,27.0,22.0
2015-08-13,28.0,44.0
2015-08-14,8.0,17.0
2015-08-15,10.0,21.0
2015-08-16,6.0,39.0
2015-08-17,9.0,14.0
2015-08-18,54.0,65.0
2015-08-19,109.0,48.0
2015-08-20,35.0,15.0
2015-08-21,44.0,17.0
2015-08-22,23.0,41.0
2015-08-23,25.0,10.0
2015-08-24,42.0,61.0
2015-08-25,56.0,19.0
2015-08-26,31.0,37.0
2015-08-27,31.0,42.0
2015-08-28,24.0,64.0
2015-08-29,23.0,114.0
2015-08-30,27.0,28.0
2015-08-31,52.0,21.0
2015-09-01,5.0,32.0
2015-09-02,22.0,5.0
2015-09-03,32.0,35.0
2015-09-04,20.0,12.0
2015-09-05,30.0,25.0
2015-09-06,42.0,82.0
2015-09-07,3.0,79.0
2015-09-08,233.0,174.0
2015-09-09,91.0,67.0
2015-09-10,119.0,89.0
2015-09-11,226.0,116.0
2015-09-12,111.0,144.0
2015-09-13,124.0,165.0
2015-09-14,163.0,119.0
2015-09-15,74.0,120.0
2015-09-16,119.0,122.0
2015-09-17,101.0,105.0
2015-09-18,104.0,188.0
2015-09-19,77.0,81.0
2015-09-20,52.0,106.0
2015-09-21,98.0,154.0
2015-09-22,193.0,214.0
2015-09-23,53.0,122.0
2015-09-24,182.0,79.0
2015-09-25,355.0,89.0
2015-09-26,83.0,65.0
2015-09-27,157.0,135.0
2015-09-28,354.0,113.0
2015-09-29,378.0,109.0
2015-09-30,100.0,210.0
2015-10-01,230.0,99.0
2015-10-02,403.0,132.0
2015-10-03,107.0,69.0
2015-10-04,168.0,71.0
2015-10-05,230.0,82.0
2015-10-06,250.0,62.0
2015-10-07,225.0,68.0
2015-10-08,353.0,175.0
2015-10-09,208.0,128.0
2015-10-10,346.0,206.0
2015-10-11,425.0,345.0
2015-10-12,384.0,223.0
2015-10-13,566.0,559.0
2015-10-14,516.0,443.0
2015-10-15,1019.0,766.0
2015-10-16,1071.0,987.0
2015-10-17,1568.0,1527.0
2015-10-18,3067.0,3092.0
2015-10-19,1532.0,1508.0
2015-10-20,1036.0,1053.0
2015-10-21,671.0,459.0
2015-10-22,391.0,230.0
2015-10-23,942.0,809.0
2015-10-24,549.0,541.0
2015-10-25,2378.0,2506.0
2015-10-26,1392.0,1246.0
2015-10-27,936.0,985.0
2015-10-28,1086.0,1290.0
2015-10-29,1598.0,1632.0
2015-10-30,1477.0,1490.0
2015-10-31,493.0,510.0
2015-11-01,685.0,660.0
2015-11-02,494.0,540.0
2015-11-03,1295.0,1031.0
2015-11-04,1441.0,1299.0
2015-11-05,785.0,841.0
2015-11-06,653.0,611.0
2015-11-07,460.0,961.0
2015-11-08,518.0,485.0
2015-11-09,561.0,487.0
2015-11-10,731.0,1175.0
2015-11-11,1393.0,1641.0
2015-11-12,1209.0,1111.0
2015-11-13,788.0,930.0
2015-11-14,494.0,398.0
2015-11-15,520.0,602.0
2015-11-16,430.0,600.0
2015-11-17,946.0,888.0
2015-11-18,502.0,432.0
2015-11-19,539.0,574.0
2015-11-20,680.0,743.0
2015-11-21,532.0,471.0
2015-11-22,424.0,390.0
2015-11-23,346.0,315.0
2015-11-24,577.0,558.0
2015-11-25,760.0,711.0
2015-11-26,1512.0,1473.0
2015-11-27,817.0,876.0
2015-11-28,1064.0,1148.0
2015-11-29,455.0,438.0
2015-11-30,894.0,826.0
2015-12-01,888.0,1100.0
2015-12-02,1223.0,1161.0
2015-12-03,922.0,984.0
2015-12-04,810.0,791.0
2015-12-05,1053.0,1018.0
2015-12-06,1260.0,1102.0
2015-12-07,1139.0,1449.0
2015-12-08,886.0,1042.0
2015-12-09,1203.0,1210.0
2015-12-10,845.0,1086.0
2015-12-11,1019.0,1001.0
2015-12-12,1667.0,1936.0
2015-12-13,1206.0,1162.0
2015-12-14,800.0,921.0
2015-12-15,746.0,703.0
2015-12-16,765.0,928.0
2015-12-17,675.0,782.0
2015-12-18,956.0,815.0
2015-12-19,1285.0,1117.0
2015-12-20,1458.0,1658.0
2015-12-21,2372.0,2501.0
2015-12-22,1633.0,2191.0
2015-12-23,1520.0,1349.0
2015-12-24,1418.0,2617.0
2015-12-25,963.0,1041.0
2015-12-26,1882.0,2611.0
2015-12-27,1343.0,2155.0
2015-12-28,1761.0,2228.0
2015-12-29,1110.0,977.0
2015-12-30,1173.0,1014.0
2015-12-31,1066.0,1042.0
2016-01-01,1358.0,1327.0
2016-01-02,1117.0,1134.0
2016-01-03,1274.0,1175.0
2016-01-04,1362.0,1247.0
2016-01-05,1466.0,1296.0
2016-01-06,1362.0,1121.0
2016-01-07,1954.0,1603.0
2016-01-08,1201.0,1115.0
2016-01-09,1474.0,1280.0
2016-01-10,2818.0,2582.0
2016-01-11,2973.0,2581.0
2016-01-12,1453.0,1236.0
2016-01-13,2821.0,2833.0
2016-01-14,2112.0,2020.0
2016-01-15,3547.0,3363.0
2016-01-16,2165.0,2499.0
2016-01-17,1764.0,1684.0
2016-01-18,2808.0,2734.0
2016-01-19,4150.0,4064.0
2016-01-20,4148.0,4214.0
2016-01-21,5136.0,5402.0
2016-01-22,3455.0,3339.0
2016-01-23,2821.0,3036.0
2016-01-24,2703.0,2221.0
2016-01-25,3272.0,3264.0
2016-01-26,2965.0,2698.0
2016-01-27,2239.0,1957.0
2016-01-28,1833.0,1706.0
2016-01-29,2901.0,2295.0
2016-01-30,2622.0,2873.0
2016-01-31,2626.0,2671.0
2016-02-01,3980.0,3511.0
2016-02-02,1936.0,2586.0
2016-02-03,3421.0,4215.0
2016-02-04,1610.0,2768.0
2016-02-05,2789.0,3566.0
2016-02-06,2755.0,3019.0
2016-02-07,1057.0,1101.0
2016-02-08,1000.0,2178.0
2016-02-09,1633.0,2155.0
2016-02-10,1335.0,2591.0
2016-02-11,1325.0,1934.0
2016-02-12,1670.0,2259.0
2016-02-13,1490.0,1218.0
2016-02-14,2754.0,2712.0
2016-02-15,2624.0,2346.0
2016-02-16,3597.0,2938.0
2016-02-17,2978.0,2746.0
2016-02-18,3738.0,2831.0
2016-02-19,2396.0,2248.0
2016-02-20,2997.0,2408.0
2016-02-21,4093.0,3839.0
2016-02-22,2973.0,2481.0
2016-02-23,2410.0,2325.0
2016-02-24,1870.0,1949.0
2016-02-25,381.0,777.0
2016-02-26,1165.0,997.0
2016-02-27,1029.0,812.0
2016-02-28,1416.0,1493.0
2016-02-29,3625.0,3378.0
2016-03-01,3504.0,3252.0
2016-03-02,3171.0,3228.0
2016-03-03,3670.0,3046.0
2016-03-04,4679.0,4613.0
2016-03-05,5226.0,4851.0
2016-03-06,4411.0,3830.0
2016-03-07,3294.0,2891.0
2016-03-08,2912.0,2614.0
2016-03-09,3357.0,3978.0
2016-03-10,2579.0,2062.0
2016-03-11,1989.0,1992.0
2016-03-12,2002.0,1999.0
2016-03-13,1624.0,1622.0
2016-03-14,1934.0,1574.0
2016-03-15,2442.0,2591.0
2016-03-16,2648.0,2250.0
2016-03-17,2278.0,1941.0
2016-03-18,2530.0,2179.0
2016-03-19,1962.0,1712.0
2016-03-20,11367.0,1741.0
2016-03-21,35580.0,2278.0
2016-03-22,11893.0,1878.0
2016-03-23,9239.0,1920.0
2016-03-24,10182.0,1553.0
2016-03-25,10936.0,1884.0
2016-03-26,11299.0,1182.0
2016-03-27,5075.0,1061.0
2016-03-28,12449.0,1966.0
2016-03-29,15205.0,1804.0
2016-03-30,5937.0,3821.0
2016-03-31,2762.0,1861.0
2016-04-01,2769.0,3487.0
2016-04-02,5521.0,5803.0
2016-04-03,3468.0,4254.0
2016-04-04,3434.0,3223.0
2016-04-05,6141.0,2650.0
2016-04-06,4276.0,3003.0
2016-04-07,2630.0,2614.0
2016-04-08,6339.0,3667.0
2016-04-09,7648.0,5399.0
2016-04-10,6546.0,4835.0
2016-04-11,10020.0,4974.0
2016-04-12,7519.0,5409.0
2016-04-13,6038.0,4560.0
2016-04-14,3229.0,5462.0
2016-04-15,4635.0,3430.0
2016-04-16,4807.0,5834.0
2016-04-17,2562.0,3193.0
2016-04-18,3761.0,3671.0
2016-04-19,6536.0,4017.0
2016-04-20,4852.0,4266.0
2016-04-21,2447.0,2393.0
2016-04-22,3029.0,2677.0
2016-04-23,2593.0,2672.0
